equity,p_value,beta,alpha
NHYDY,0.011628593429558779,1.8716603485480592,-12.789467080563838
AA,0.012125913744706483,2.7880575778435257,-18.039308603492657
CENX,0.029653210214563967,1.6452869903812553,-10.350616036464974
CSTM,0.05374671618177704,1.052426626128923,-5.601253765635323
KALU,0.09332572519342652,0.42628517862786935,1.2554011018144595
S32.AX,0.128652182971081,1.1059601757043576,-7.354577803068288
RIO,0.1832658735819081,0.4911407079843235,0.33729372685996073
HINDALCO.NS,0.2630786527114939,1.9454955054227407,-9.381950333016494
ACH,0.39191366406605466,2.7034266492963765,-18.06674687135412
1211.HK,0.6559914611179363,2.5133133463196344,-15.816645306019144
